variable,shap_medio_min,importancia_pct
segment_distance_km,0.3966170264696051,55.81479480627451
station_code,0.0870565037196038,12.251216078424546
same_zone,0.07899591910175584,11.116872753659909
to_zone_id,0.037787865806803995,5.3177797104367
route_total_stops,0.02279135684545395,3.2073633273106075
service_time_at_destination_seconds,0.020315368813376547,2.8589245192661874
cumulative_distance_km,0.01607615933350522,2.262352533020497
segment_position,0.01352148231991282,1.9028400466827646
packages_with_window_at_destination,0.0097656137110336,1.3742872571317928
departure_hour,0.008416591080602104,1.1844431095499823
route_package_count,0.0066433155230966184,0.9348950448636173
weekday,0.0058040784000513174,0.8167915730244644
packages_at_destination,0.0034413356559792998,0.48428945476126867
volume_at_destination_cm3,0.0033621777467429934,0.4731497855931405
