variable,shap_medio_min,importancia_pct
segment_distance_km,7.161201577610085,71.14549343861408
station_code,1.606258559295487,15.957944564550704
departure_hour,0.3031133468737114,3.011386901687656
route_total_stops,0.26064454317133595,2.589465529637479
route_package_count,0.18601811994865042,1.848062896825584
packages_with_window_at_destination,0.16124696135154623,1.6019650482540182
volume_at_destination_cm3,0.15104879237388183,1.5006477265415856
service_time_at_destination_seconds,0.1185803442726796,1.1780784291532307
weekday,0.091375433279097,0.9078016054085274
packages_at_destination,0.02608532089047181,0.25915385932713275
